time,temp_avg,temp_max,temp_min
8.28,634.59530803637,2636.3485756963,300.1392746248
8.34,634.69091533347,2636.5079046327,300.14084700367
8.4,634.78494195551,2635.875932641,300.14243725533
8.46,634.87742979886,2636.1268524902,300.14404559144
8.52,634.96820050479,2636.134692076,300.14567215123
8.58,635.05736429706,2635.0990346523,300.14731716826
8.64,635.14511994685,2635.8418018823,300.14898091399
8.7,635.2312397915,2635.6992658079,300.15066351916
8.76,635.31569442391,2634.7834950925,300.1523651767
8.82,635.39872873591,2635.4928689602,300.15408618001
8.88,635.48025301541,2635.1988263997,300.15582671389
8.94,635.5601557462,2634.7742500148,300.15758695167
9,635.63855160122,2635.0789842926,300.15936714793
9.06,635.71548719134,2634.6316938114,300.16116754076
9.12,635.790936603,2634.6982075347,300.16298834359
9.18,635.86480164859,2634.8127169709,300.16482974211
9.24,635.93720992443,2633.9971359652,300.1666920088
9.3,636.0082748322,2634.5535127915,300.1685754187
9.36,636.07777074374,2634.5154994344,300.17048011808
9.42,636.14573954262,2633.4107240514,300.17240635275
9.48,636.21243119618,2634.3392587166,300.17435445844
9.54,636.27766994218,2634.1490918949,300.17632460944
9.6,636.34135910073,2633.5322076684,300.17831700565
9.66,636.40369542728,2634.0556426101,300.18033196883
9.72,636.4646596492,2633.7114437749,300.18236974237
9.78,636.5241691415,2633.5832191041,300.18443054225
9.84,636.58222977748,2633.7998547864,300.18651462065
9.9,636.63893811395,2633.2017863523,300.18862227441
9.96,636.69433150462,2633.561742756,300.19075378078
10.02,636.74822626273,2633.6238875416,300.19290932058
10.08,636.8007283955,2632.6202747861,300.19508920062
10.14,636.85203282233,2633.466684893,300.19729377732
10.2,636.90190651873,2633.3756716194,300.19952321945
10.26,636.95031544655,2632.5585943724,300.20177777942
10.32,636.99750087521,2633.2982347963,300.20405784283
10.38,637.04336834662,2633.0531413077,300.20636364979
10.44,637.08780154895,2632.7226016178,300.20869542585
10.5,637.13091115836,2633.0560329545,300.21105350466
10.56,637.17273958143,2632.6553169502,300.21343819712
10.62,637.21325649049,2632.8115584013,300.21584978137
10.68,637.25235912888,2632.9710111123,300.21828849854
10.74,637.29017119692,2632.1821356915,300.22075470538
10.8,637.32680217543,2632.8242640674,300.22324876127
10.86,637.3620216064,2632.8291427524,300.22577085393
10.92,637.3958672954,2631.8065140093,300.22832130439
10.98,637.42858571151,2632.7604380132,300.23090055243
11.04,637.45999650257,2632.6112886562,300.23350882211
11.1,637.48999862321,2632.0731935241,300.23614637253
11.16,637.51878522777,2632.6208784008,300.23881362461
11.22,637.54633292565,2632.3159918691,300.2415108939
11.28,637.57255484115,2632.2634940252,300.24423845977
11.34,637.59745285086,2632.5182883481,300.24699664973
11.4,637.62111970555,2631.9430544375,300.24978585027
11.46,637.64358883412,2632.3759597982,300.25260642124
11.52,637.66467222277,2632.4748356303,300.25545859403
11.58,637.68447212912,2631.493181395,300.25834276812
11.64,637.70317989249,2632.4100371246,300.26125940791
11.7,637.72055814572,2632.3544805822,300.26420872736
11.76,637.73656888497,2631.6056436181,300.26719105284
11.82,637.751449898,2632.3664373801,300.27020688705
11.88,637.76510269025,2632.1556745802,300.27325653786
11.94,637.77740690066,2631.8913892362,300.27634029444
12,637.78846953574,2632.2453070265,300.27945858962
12.06,637.79832921676,2631.8779395874,300.28261182483
12.12,637.80695173597,2632.0987006624,300.28580035772
12.18,637.81423041138,2632.2908661015,300.28902449661
12.24,637.8202852867,2631.5217007296,300.29228470351
12.3,637.82522215778,2632.2268589899,300.29558144269
12.36,637.82880654117,2632.263708075,300.29891494972
12.42,637.83107251218,2631.3028774956,300.30228563826
12.48,637.83226299865,2632.2760544148,300.30569407856
12.54,637.83219372007,2632.1582679822,300.3047706981
12.6,637.83075979962,2631.6809498563,300.30137385211
12.66,637.82815080322,2632.2475467041,300.29801455274
12.72,637.82433957064,2631.9735480703,300.29469238326
12.78,637.81923542966,2631.9810379194,300.29140688556
12.84,637.8128365511,2632.2664530226,300.28815766831
12.9,637.80523199991,2631.7098026505,300.28494440257
12.96,637.79645147825,2632.2021353571,300.28176672381
13.02,637.78630320446,2632.3313814741,300.27862412965
13.08,637.77488575879,2631.3681837749,300.2755163054
13.14,637.7623867915,2632.3441334662,300.27244299797
13.2,637.74856518539,2632.3188253793,300.26940368953
13.26,637.73337922101,2631.6289726733,300.26639798707
13.32,637.71706300274,2632.4081859238,300.26342567317
13.38,637.69951430363,2632.2276778067,300.26048633005
13.44,637.68060906576,2632.0224882032,300.25757952795
13.5,637.66045058962,2632.4016241265,300.25470497824
13.56,637.63907375891,2632.0579021335,300.25186235521
13.62,637.61644064615,2632.3380961892,300.24905129311
13.68,637.5924409137,2632.5608310366,300.24627139064
13.74,637.567190836,2631.8103658928,300.2435223762
13.8,637.54079240593,2632.5755213915,300.24080397449
13.86,637.51300754528,2632.643296989,300.23811572643
13.92,637.48386659609,2631.7432408261,300.23545732068
13.98,637.45360856628,2632.7354013364,300.2328285644
14.04,637.42204554434,2632.6490292846,300.23022904015
14.1,637.38906900575,2632.2335042116,300.22765837283
14.16,637.35486460419,2632.8194484749,300.22511634721
14.22,637.3194014127,2632.5774848036,300.22260263956
14.28,637.28258507069,2632.6480216577,300.22011689491
14.34,637.24440999418,2632.9660153568,300.21765880856
14.4,637.20496134578,2632.4293800546,300.21522812329
14.46,637.16426496111,2632.9862535384,300.21282455562
14.52,637.12212550773,2633.1489337613,300.21044771867
14.58,637.07863762711,2632.2063386031,300.20809736628
14.64,637.03398483729,2633.248568069,300.20577329963
14.7,636.98792250776,2633.2576900003,300.20347512142
14.76,636.94040516934,2632.6360705911,300.20120252733
14.82,636.89166265713,2633.4366077782,300.19895534577
14.88,636.84158899532,2633.2916700406,300.19673325546
14.94,636.79005644819,2633.1569552929,300.19453592559
